id,subdistrict_id,type,name_en,name_bn
1010101,10101,union,Raypasha-Karapur,রায়পাশা-কড়াপুর
1010102,10101,union,Kashipur,কাশিপুর
1010103,10101,union,Charbaria,চরবাড়িয়া
1010104,10101,union,Sayestabad,শায়েস্তাবাদ
1010105,10101,union,Charmonai,চরমোনাই
1010106,10101,union,Jagua,জাগুয়া
1010107,10101,union,Charkaua,চরকাউয়া
1010108,10101,union,Chandpura,চাঁদপুরা
1010109,10101,union,Tungibaria,টুঙ্গীবাড়ীয়া
1010110,10101,union,Chandramohan,চন্দ্রমোহন
1010201,10102,union,Charamaddi,চরামদ্দি
1010202,10102,union,Charadi,চরাদি
1010203,10102,union,Durgapasha,দুর্গাপাশা
1010204,10102,union,Darial,দাঁড়িয়াল
1010205,10102,union,Dudhal,দুধল
1010206,10102,union,Faridpur,ফরিদপুর
1010207,10102,union,Kabai,কবাই
1010208,10102,union,Nalua,নলুয়া
1010209,10102,union,Kalaskati,কলসকাঠি
1010210,10102,union,Garuria,গারুড়িয়া
1010211,10102,union,Bharpasha,ভরপাশা
1010212,10102,union,Rangashree,রঙ্গশ্রী
1010213,10102,union,Padri Shibpur,পাদ্রীশিবপুর
1010214,10102,union,Niamati,নিয়ামতি
1010301,10103,union,Agarpur,আগরপুর
1010302,10103,union,Kedarpur,কেদারপুর
1010303,10103,union,Dehergoti,দেহেরগতি
1010304,10103,union,Chandpasha,চাঁদপাশা
1010305,10103,union,Rahmatpur,রহমতপুর
1010306,10103,union,Madhabpasha,মাধবপাশা
1010401,10104,union,Bisharkandi,বিশারকান্দি
1010402,10104,union,Iluhar,ইলুহার
1010403,10104,union,Sayedkati,সৈয়দকাঠি
1010404,10104,union,Salyabakpur,সলিয়াবাকপুর
1010405,10104,union,Baukati,বাউকাঠি
1010406,10104,union,Banaripara Sadar,বানারীপাড়া সদর
1010407,10104,union,Udaykati,উদয়কাঠি
1010408,10104,union,Chakhar,চাখার
1010501,10105,union,Khanjapur,খাঞ্জাপুর
1010502,10105,union,Barthi,বার্থী
1010503,10105,union,Chandshi,চাদশী
1010504,10105,union,Mahilara,মাহিলাড়া
1010505,10105,union,Nalcira,নলচিড়া
1010506,10105,union,Batajor,বাটাজোর
1010507,10105,union,Gournadi Sadar,গৌরনদী সদর
1010601,10106,union,Rajihar,রাজিহার
1010602,10106,union,Bakal,বাকাল
1010603,10106,union,Bagdha,বাগধা
1010604,10106,union,Gaila,গৈলা
1010605,10106,union,Ratnapur,রত্নপুর
1010701,10107,union,Harinathpur,হরিনাথপুর
1010702,10107,union,Memaniya,মেমানিয়া
1010703,10107,union,Guabaria,গুয়াবাড়িয়া
1010704,10107,union,Barajalia,বড়জালিয়া
1010705,10107,union,Hizla Gourabdi,হিজলা গৌরবদী
1010706,10107,union,Dhulkhola,ধুলখোলা
1010801,10108,union,Mehendiganj Sadar,মেহেন্দিগঞ্জ সদর
